Brand	Name	Dim	Weight	Bat	Blue	CPU	Cam	Cores	Dis	GPU	Memory card	OS	Pos	RAM	SIM	SoC	Storage	USB	Wi-Fi	Average price
P20	Lite	71.2 x 148.6 x 7.4 mm	145 g	3000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.84 in, IPS, 1080 x 2280 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	212.39
8	Wi-Fi	212.6 x 124.8 x 7.3 mm	316 g	5100 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	8.4 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	No info	Huawei HiSilicon KIRIN 960	32 GB, 64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	302.67
Pro	Wi-Fi	258.7 x 171.8 x 7.3 mm	498 g	7500 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps	No info	10.8 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	No info	Huawei HiSilicon KIRIN 960	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	557.55
10	Pro	258.7 x 171.8 x 7.3 mm	498 g	7500 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps	No info	10.8 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM	Huawei HiSilicon KIRIN 960	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	507.98
10	Wi-Fi	258.7 x 171.8 x 7.3 mm	498 g	7500 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	10.8 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	No info	Huawei HiSilicon KIRIN 960	32 GB, 64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	444.47
M5	10	258.7 x 171.8 x 7.3 mm	498 g	7500 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	10.8 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM	Huawei HiSilicon KIRIN 960	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	346.72
Mate	SE	75.3 x 156.5 x 7.6 mm	165 g	3340 mAh, Li-Polymer	4.1	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.93 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	312.33
M5	8	212.6 x 124.8 x 7.3 mm	316 g	5100 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	8.4 in, IPS, 2560 x 1600 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM	Huawei HiSilicon KIRIN 960	32 GB, 64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	325.58
P	Smart	72.05 x 150.1 x 7.45 mm	143 g	3000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.65 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	176.66
9	Lite	71.9 x 151 x 7.6 mm	149 g	3000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.65 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	188.74
Enjoy	7s	72.05 x 150.1 x 7.45 mm	143 g	3000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.65 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	163.38
nova	2s	75.1 x 156.9 x 7.5 mm	169 g	3340 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	5120 x 3840 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 960	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	264.82
Honor	V10	74.98 x 157 x 6.97 mm	172 g	3750 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps	No info	5.99 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-G72 MP12, 767 MHz, Cores: 12	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1833 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 970	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	395.00
Ascend	XT2	76.2 x 153.4 x 8.38 mm	165 g	4000 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 435 MSM8940	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	94.29
Porsche	Design	74.5 x 154.2 x 7.9 mm	178 g	4000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, AMOLED, 1080 x 2160 pixels, 24 bit	ARM Mali-G72 MP12, Cores: 12	No info	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	6 GB, 1833 MHz	Nano-SIM	Huawei HiSilicon KIRIN 970	256 GB	3.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	732.41
WaterPlay	Wi-Fi	248 x 173 x 7.8 mm	465 g	6660 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1920 x 1200 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	No info	Huawei HiSilicon KIRIN 659	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	278.69
Honor	WaterPlay	248 x 173 x 7.8 mm	465 g	6660 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1920 x 1200 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM	Huawei HiSilicon KIRIN 659	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	316.91
10	Lite	75.2 x 156.2 x 7.5 mm	164 g	3340 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.9 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	No info	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	293.72
Honor	7X	75.3 x 156.5 x 7.6 mm	165 g	3340 mAh, Li-Polymer	4.1	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.93 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	32 GB, 64 GB, 128 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	184.26
Mate	10	77.8 x 150.5 x 8.2 mm	186 g	4000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps	No info	5.9 in, IPS, 1440 x 2560 pixels, 24 bit	ARM Mali-G72 MP12, Cores: 12	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1833 MHz	Nano-SIM	Huawei HiSilicon KIRIN 970	64 GB	3.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	451.54
Elate	4G	76.2 x 153.4 x 8.38 mm	165 g	4000 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 435 MSM8940	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	100.00
10	Pro	74.5 x 154.2 x 7.9 mm	178 g	4000 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, AMOLED, 1080 x 2160 pixels, 24 bit	ARM Mali-G72 MP12, Cores: 12	No info	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1833 MHz	Nano-SIM	Huawei HiSilicon KIRIN 970	64 GB, 128 GB	3.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	532.63
nova	2i	75.2 x 156.2 x 7.5 mm	164 g	3340 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.9 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	477.84
Maimang	6	75.2 x 156.2 x 7.5 mm	164 g	3340 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.9 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	241.82
Play	6	72 x 143.8 x 8.85 mm	150 g	3020 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1400 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP2, 600 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	2 GB, 3 GB, 733 MHz	Nano-SIM	MediaTek MT6737T	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	251.66
V9	Play	73.2 x 147.9 x 7.65 mm	145 g	3000 mAh, Li-Polymer	4.2	4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T860 MP2, 520 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 667 MHz	Nano-SIM / microSD, Nano-SIM	MediaTek MT6750	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	162.88
Lite	mini	71 x 143.5 x 8.05 mm	145 g	3020 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1400 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 667 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 425 MSM8917	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	150.74
Enjoy	7	71 x 143.5 x 8.05 mm	145 g	3020 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1400 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 3 GB, 667 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 425 MSM8917	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	116.90
Honor	9	70.9 x 147.3 x 7.45 mm	155 g	3200 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 3840 x 2160 pixels, 30 fps	No info	5.15 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-G71 MP8, 1037 MHz, Cores: 8	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 960	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	492.98
Y7	Prime	76.4 x 153.6 x 8.35 mm	165 g	4000 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 435 MSM8940	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	173.50
Lite	8.0	213.3 x 123.3 x 7.5 mm	310 g	4800 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	8 in, IPS, 1920 x 1200 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 435 MSM8940	32 GB, 64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	181.42
8.0	Wi-Fi	213.3 x 123.3 x 7.5 mm	310 g	4800 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	8 in, IPS, 1920 x 1200 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	No info	3 GB, 4 GB, 800 MHz	No info	Qualcomm Snapdragon 435 MSM8940	32 GB, 64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	243.00
2	Plus	74.9 x 153.9 x 6.9 mm	169 g	3340 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	128 GB	2.0, USB Type-C	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	256.41
nova	2	68.9 x 142.2 x 6.9 mm	143 g	2950 mAh, Li-Polymer	4.2	4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53, Cores: 8	3968 x 2976 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T830 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Huawei HiSilicon KIRIN 659	64 GB	2.0, USB Type-C	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	293.33
6A	DLI-L22	70.95 x 143.7 x 8.2 mm	143 g	3020 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 430 MSM8937	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	127.42
Honor	6A	70.95 x 143.7 x 8.2 mm	143 g	3020 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 3 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 430 MSM8937	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	117.43
Y6	2017	72 x 143.8 x 8.35 mm	150 g	3000 mAh, Li-Ion	4.0	ARM Cortex-A53, 1400 MHz, Cores: 4	4160 x 3120 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP2, 600 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	2 GB, 733 MHz	Micro-SIM	MediaTek MT6737T	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	115.55
Lite	10	241.3 x 171.5 x 7.5 mm	310 g	6660 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1920 x 1200 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 435 MSM8940	16 GB, 32 GB, 64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	252.83
10	Wi-Fi	229.8 x 159.8 x 7.95 mm	460 g	4800 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1400 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	9.6 in, IPS, 1280 x 800 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	No info	2 GB, 3 GB, 667 MHz	No info	Qualcomm Snapdragon 425 MSM8917	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot	132.48
T3	10	229.8 x 159.8 x 7.95 mm	460 g	4800 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1400 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	9.6 in, IPS, 1280 x 800 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	2 GB, 3 GB, 667 MHz	Micro-SIM	Qualcomm Snapdragon 425 MSM8917	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot	168.35
nova	Smart	69.9 x 144 x 7.6 mm	138 g	3020 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	3 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 435 MSM8940	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	395.27
